naics,name,baseline_tradable,corrected_tradable
332993,Ammunition (except Small Arms) Manufacturing,tradable,tradable
332994,Small Arms Manufacturing,tradable,tradable
332995,Other Ordnance and Accessories Manufacturing,tradable,tradable
332996,Fabricated Pipe and Pipe Fitting Manufacturing,tradable,tradable
332997,Industrial Pattern Manufacturing,tradable,tradable
332998,Enameled Iron and Metal Sanitary Ware Manufacturing,tradable,tradable
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,non-tradable,tradable
333111,Farm Machinery and Equipment Manufacturing,tradable,tradable
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,tradable,tradable
333120,Construction Machinery Manufacturing,tradable,tradable
333131,Mining Machinery and Equipment Manufacturing,tradable,tradable
333132,Oil and Gas Field Machinery and Equipment Manufacturing,tradable,tradable
333210,Sawmill and Woodworking Machinery Manufacturing,tradable,tradable
333220,Plastics and Rubber Industry Machinery Manufacturing,tradable,tradable
333291,Paper Industry Machinery Manufacturing,tradable,tradable
333292,Textile Machinery Manufacturing,tradable,tradable
333293,Printing Machinery and Equipment Manufacturing,tradable,tradable
333294,Food Product Machinery Manufacturing,tradable,tradable
333295,Semiconductor Machinery Manufacturing,tradable,tradable
333298,All Other Industrial Machinery Manufacturing,non-tradable,tradable
333311,Automatic Vending Machine Manufacturing,tradable,tradable
333312,"Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing",tradable,tradable
333313,Office Machinery Manufacturing,tradable,tradable
333314,Optical Instrument and Lens Manufacturing,tradable,tradable
333315,Photographic and Photocopying Equipment Manufacturing,tradable,tradable
333319,Other Commercial and Service Industry Machinery Manufacturing,non-tradable,tradable
333411,Air Purification Equipment Manufacturing,tradable,tradable
333412,Industrial and Commercial Fan and Blower Manufacturing,tradable,tradable
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,tradable,tradable
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,non-tradable,tradable
333511,Industrial Mold Manufacturing,tradable,tradable
333512,Machine Tool (Metal Cutting Types) Manufacturing,tradable,tradable
333513,Machine Tool (Metal Forming Types) Manufacturing,tradable,tradable
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",non-tradable,tradable
333515,Cutting Tool and Machine Tool Accessory Manufacturing,tradable,tradable
333516,Rolling Mill Machinery and Equipment Manufacturing,tradable,tradable
333518,Other Metalworking Machinery Manufacturing,tradable,tradable
333611,Turbine and Turbine Generator Set Units Manufacturing,tradable,tradable
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",tradable,tradable
333613,Mechanical Power Transmission Equipment Manufacturing,tradable,tradable
333618,Other Engine Equipment Manufacturing,tradable,tradable
333911,Pump and Pumping Equipment Manufacturing,tradable,tradable
333912,Air and Gas Compressor Manufacturing,tradable,tradable
333913,Measuring and Dispensing Pump Manufacturing,tradable,tradable
333921,Elevator and Moving Stairway Manufacturing,tradable,tradable
333922,Conveyor and Conveying Equipment Manufacturing,tradable,tradable
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",tradable,tradable
333924," Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",tradable,tradable
333991,Power-Driven Handtool Manufacturing,tradable,tradable
333992,Welding and Soldering Equipment Manufacturing,tradable,tradable
333993,Packaging Machinery Manufacturing,tradable,tradable
333994,Industrial Process Furnace and Oven Manufacturing,tradable,tradable
333995,Fluid Power Cylinder and Actuator Manufacturing,tradable,tradable
333996,Fluid Power Pump and Motor Manufacturing,tradable,tradable
333997,Scale and Balance Manufacturing,tradable,tradable
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,non-tradable,tradable
334111,Electronic Computer Manufacturing,tradable,tradable
334112,Computer Storage Device Manufacturing,tradable,tradable
334113,Computer Terminal Manufacturing,tradable,tradable
334119,Other Computer Peripheral Equipment Manufacturing,tradable,tradable
334210,Telephone Apparatus Manufacturing,tradable,tradable
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,tradable,tradable
334290,Other Communications Equipment Manufacturing,tradable,tradable
334310,Audio and Video Equipment Manufacturing,tradable,tradable
334411,Electron Tube Manufacturing,tradable,tradable
334412,Bare Printed Circuit Board Manufacturing,tradable,tradable
334413,Semiconductor and Related Device Manufacturing,tradable,tradable
334414,Electronic Capacitor Manufacturing,tradable,tradable
334415,Electronic Resistor Manufacturing,tradable,tradable
334416,"Electronic Coil, Transformer, and Other Inductor Manufacturing",tradable,tradable
334417,Electronic Connector Manufacturing,tradable,tradable
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,tradable,tradable
334419,Other Electronic Component Manufacturing,tradable,tradable
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,tradable,tradable
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",tradable,tradable
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",tradable,tradable
